Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2022-08-25T08:29:40.432606Z,TSLA,STOCK SPLIT,9.75677344,,USD 0,USD,0.0406
2022-09-03T11:25:40.443487Z,,CUSTODY FEE,,,USD -0.61,USD,0.0407
2022-10-04T04:14:20.145773Z,,CUSTODY FEE,,,USD -0.59,USD,0.0402
2022-11-02T09:28:32.868537Z,,CUSTODY FEE,,,USD -0.54,USD,0.0405
2022-11-07T19:25:54.974438Z,,CASH TOP-UP,,,USD 0.13,USD,0.0414
2022-11-07T19:27:04.159883Z,,CASH TOP-UP,,,USD 834.83,USD,0.0414
2022-11-07T19:27:43.965714Z,TSLA,BUY - MARKET,3,USD 199.48,USD 598.44,USD,0.0414
2022-11-07T19:28:39.823530Z,PLTR,BUY - MARKET,33.55920114,USD 7.01,USD 236.39,USD,0.0414
2022-12-02T06:41:41.066962Z,,CUSTODY FEE,,,USD -0.55,USD,0.0433
2022-12-09T11:36:45.482867Z,,CASH TOP-UP,,,USD 0.55,USD,0.0435
2022-12-14T15:52:12.363275Z,,CASH TOP-UP,,,USD 4850,USD,0.0440
2022-12-14T15:53:17.397275Z,TSLA,BUY - MARKET,18.15652672,USD 156.97,USD 2850,USD,0.0440
2022-12-14T15:53:40.377651Z,PLTR,BUY - MARKET,131.27763157,USD 7.60,USD 1000,USD,0.0440
2022-12-14T15:54:01.910254Z,PATH,BUY - MARKET,37.25242718,USD 13.39,USD 500,USD,0.0440
2022-12-14T15:56:04.483578Z,GOOGL,BUY - MARKET,5.17385892,USD 96.40,USD 500,USD,0.0440
2023-01-04T09:34:26.284295Z,,CUSTODY FEE,,,USD -0.81,USD,0.0443
2023-01-04T14:26:13.836657Z,,CASH TOP-UP,,,USD 0.81,USD,0.0444
2023-01-09T17:21:58.494Z,,CASH TOP-UP,,,USD 1500,USD,0.0449
2023-01-09T17:22:53.234Z,COIN,BUY - MARKET,12.77190293,USD 39.15,USD 500,USD,0.0449
2023-01-09T17:23:26.557Z,TSLA,BUY - MARKET,8.18175853,USD 121.92,USD 1000,USD,0.0449
2023-01-11T17:12:17.599654Z,,CASH TOP-UP,,,USD 70,USD,0.0448
2023-01-11T17:12:43.095Z,RIVN,BUY - MARKET,3.99245063,USD 17.22,USD 70,USD,0.0448
2023-01-19T21:42:53.595231Z,,CASH TOP-UP,,,USD 100,USD,0.0454
2023-01-20T14:30:26.787Z,RIVN,BUY - MARKET,6.16739537,USD 16.01,USD 100,USD,0.0453
2023-01-31T14:40:37.626Z,COIN,SELL - MARKET,1.76402116,USD 56.70,USD 100,USD,0.0456
2023-02-01T04:23:25.927823Z,,CUSTODY FEE,,,USD -1.24,USD,0.0458
2023-02-01T13:18:42.682130Z,,CASH TOP-UP,,,USD 1.24,USD,0.0459
2023-02-01T14:30:49.335Z,PLTR,BUY - MARKET,12.7888601,USD 7.72,USD 100,USD,0.0459
2023-02-02T14:31:02.118Z,GOOGL,SELL - MARKET,5.17385892,USD 105.80,USD 546.02,USD,0.0461
2023-02-02T14:55:44.776Z,QS,BUY - MARKET,53.56145526,USD 10.17,USD 546,USD,0.0460
2023-02-03T12:07:44.830672Z,,CASH TOP-UP,,,USD 559.60,USD,0.0461
2023-02-03T14:31:01.441Z,QS,BUY - MARKET,38.86162162,USD 9.25,USD 359.62,USD,0.0458
2023-02-03T14:31:09.902Z,RIVN,BUY - MARKET,10.01151151,USD 19.98,USD 200,USD,0.0458
2023-02-07T10:43:07.147509Z,,CASH TOP-UP,,,USD 200,USD,0.0451
2023-02-07T14:30:46.865Z,GOEVQ,BUY - MARKET,183.4678899,USD 1.09,USD 200,USD,0.0450
2023-03-02T08:19:22.042504Z,,CUSTODY FEE,,,USD -1.51,USD,0.0455
2023-03-02T15:03:50.791727Z,,CASH TOP-UP,,,USD 1.51,USD,0.0453
2023-04-04T10:21:07.304186Z,,CUSTODY FEE,,,USD -1.54,USD,0.0468
2023-04-04T15:45:03.582837Z,,CASH TOP-UP,,,USD 500,USD,0.0468
2023-04-04T15:45:35.815Z,QS,BUY - MARKET,63.51022488,USD 7.85,USD 498.46,USD,0.0468
2023-05-02T17:10:16.273513Z,,CUSTODY FEE,,,USD -1.32,USD,0.0467
2023-05-03T15:02:26.324066Z,,CASH TOP-UP,,,USD 500,USD,0.0472
2023-05-03T15:02:55.947Z,PLTR,BUY - MARKET,66.59279038,USD 7.49,USD 498.68,USD,0.0472
2023-06-02T09:12:10.071888Z,,CUSTODY FEE,,,USD -1.87,USD,0.0456
2023-06-02T10:25:46.134424Z,,CASH TOP-UP,,,USD 1.87,USD,0.0456
2023-06-25T13:10:08.926157Z,PATH,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,77.25242718,,USD 0,USD,0.0462
2023-06-25T13:10:08.929791Z,COIN,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,11.00788177,,USD 0,USD,0.0462
2023-06-25T13:10:08.932517Z,TSLA,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,43.97344541,,USD 0,USD,0.0462
2023-06-25T13:10:08.935502Z,QS,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,155.93330176,,USD 0,USD,0.0462
2023-06-25T13:10:08.939125Z,RIVN,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,20.17135751,,USD 0,USD,0.0462
2023-06-25T13:10:08.942216Z,PLTR,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,424.35606398,,USD 0,USD,0.0462
2023-06-25T13:10:08.945120Z,GOEVQ,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,183.4678899,,USD 0,USD,0.0462
2023-07-01T03:57:55.185584Z,,CUSTODY FEE,,,USD -2.17,USD,0.0460
2023-07-13T07:21:43.471028Z,,CASH TOP-UP,,,USD 200,USD,0.0469
2023-07-13T13:30:23.187Z,ENPH,BUY - MARKET,1.05970952,USD 185.90,USD 197,USD,0.0472
2023-08-01T05:23:20.304491Z,,CUSTODY FEE,,,USD -2.56,USD,0.0461
